SESSION_ID,USER,FEATURE,IN_TIME,OUT_TIME,DURATION_HOURS
1,FMoma,elec_solve_hfss,3/21/2024 6:27,3/21/2024 8:16,1.819166667
2,FMoma,elec_solve_hfss,3/21/2024 9:38,3/21/2024 10:13,0.585555556
3,FMoma,elec_solve_hfss,3/21/2024 10:15,3/21/2024 10:16,0.006944444
4,FMoma,elec_solve_hfss,3/21/2024 10:30,3/21/2024 10:30,0.006666667
5,FMoma,elec_solve_hfss,3/21/2024 10:51,3/21/2024 10:54,0.05
6,FMoma,elec_solve_hfss,3/21/2024 10:59,3/21/2024 11:00,0.010277778
7,FMoma,elec_solve_hfss,3/21/2024 11:25,3/21/2024 12:10,0.748333333
8,FMoma,elec_solve_hfss,3/21/2024 12:10,3/21/2024 12:19,0.136666667
9,FMoma,elec_solve_hfss,3/21/2024 12:19,3/21/2024 12:21,0.040277778
10,FMoma,elec_solve_hfss,3/21/2024 12:22,3/21/2024 12:23,0.029166667
11,FMoma,elec_solve_hfss,3/21/2024 12:24,3/21/2024 12:24,0.009444444
12,FMoma,elec_solve_hfss,3/21/2024 12:25,3/21/2024 12:29,0.065
13,FMoma,elec_solve_hfss,3/21/2024 12:29,3/21/2024 12:30,0.005277778
14,FMoma,elec_solve_hfss,3/21/2024 12:45,3/21/2024 12:59,0.231111111
15,FMoma,elec_solve_hfss,3/21/2024 12:59,3/21/2024 13:02,0.046388889
16,FMoma,elec_solve_hfss,3/21/2024 13:02,3/21/2024 13:32,0.488888889
17,FMoma,elec_solve_hfss,3/21/2024 13:40,3/21/2024 14:02,0.355833333
18,FMoma,elec_solve_hfss,3/21/2024 14:10,3/21/2024 14:33,0.394444444
19,FMoma,elec_solve_hfss,3/21/2024 14:35,3/21/2024 14:35,0.004444444
20,FMoma,elec_solve_hfss,3/21/2024 14:49,3/21/2024 15:11,0.357777778
21,FMoma,elec_solve_hfss,3/21/2024 15:25,3/21/2024 15:53,0.475833333
22,FMoma,elec_solve_hfss,3/21/2024 16:22,3/21/2024 18:16,1.893888889
23,FMoma,elec_solve_hfss,3/21/2024 18:31,3/21/2024 22:51,4.330555556
24,FMoma,elec_solve_hfss,3/21/2024 22:52,3/21/2024 22:53,0.030277778
25,FMoma,elec_solve_hfss,3/21/2024 22:56,3/21/2024 22:56,0.015833333
26,FMoma,elec_solve_hfss,3/21/2024 22:59,3/21/2024 22:59,0.006666667
27,FMoma,elec_solve_hfss,3/21/2024 23:44,3/21/2024 23:48,0.07
28,FMoma,elec_solve_hfss,3/21/2024 23:58,3/22/2024 0:22,0.404722222
29,FMoma,elec_solve_hfss,3/22/2024 0:36,3/22/2024 0:42,0.113055556
30,FMoma,elec_solve_hfss,3/22/2024 0:50,3/22/2024 1:01,0.176666667
31,FMoma,elec_solve_hfss,3/22/2024 1:09,3/25/2024 15:54,86.73555556
32,FMoma,elec_solve_hfss,3/25/2024 16:05,3/25/2024 18:23,2.315277778
33,FMoma,elec_solve_hfss,3/25/2024 18:37,3/25/2024 19:27,0.841944444
34,FMoma,elec_solve_hfss,3/25/2024 19:41,3/25/2024 19:58,0.279166667
35,FMoma,elec_solve_hfss,3/25/2024 20:04,3/25/2024 21:15,1.175555556
36,FMoma,elec_solve_hfss,3/25/2024 21:29,3/25/2024 22:13,0.7375
37,FMoma,elec_solve_hfss,3/25/2024 22:27,3/25/2024 23:00,0.541944444
38,FMoma,elec_solve_hfss,3/25/2024 23:04,3/25/2024 23:08,0.057222222
39,FMoma,elec_solve_hfss,3/25/2024 23:15,3/21/2024 14:00,-105.2508333
40,FMoma,elec_solve_icepak,3/21/2024 14:10,3/21/2024 15:09,0.99
41,FMoma,elec_solve_icepak,3/21/2024 15:25,3/22/2024 0:41,9.277777778
42,FMoma,elec_solve_icepak,3/22/2024 0:42,3/22/2024 0:42,0.000833333
43,FMoma,elec_solve_icepak,3/22/2024 0:50,3/25/2024 18:22,89.535
44,FMoma,elec_solve_icepak,3/25/2024 18:23,3/25/2024 18:23,0.000833333
45,FMoma,elec_solve_icepak,3/25/2024 18:37,3/25/2024 19:26,0.820833333
46,FMoma,elec_solve_icepak,3/25/2024 19:27,3/25/2024 19:27,0.001111111
47,FMoma,elec_solve_icepak,3/25/2024 19:41,3/21/2024 4:20,-111.3538889
48,FMoma,elec_solve_level1,3/21/2024 6:27,3/21/2024 8:16,1.819166667
49,FMoma,elec_solve_level1,3/21/2024 9:38,3/21/2024 10:13,0.585555556
50,FMoma,elec_solve_level1,3/21/2024 10:15,3/21/2024 10:16,0.007222222
51,FMoma,elec_solve_level1,3/21/2024 10:30,3/21/2024 10:30,0.006944444
52,FMoma,elec_solve_level1,3/21/2024 10:51,3/21/2024 10:54,0.050277778
53,FMoma,elec_solve_level1,3/21/2024 10:59,3/21/2024 11:00,0.010277778
54,FMoma,elec_solve_level1,3/21/2024 11:25,3/21/2024 12:10,0.748333333
55,FMoma,elec_solve_level1,3/21/2024 12:10,3/21/2024 12:19,0.136666667
56,FMoma,elec_solve_level1,3/21/2024 12:19,3/21/2024 12:21,0.040277778
57,FMoma,elec_solve_level1,3/21/2024 12:22,3/21/2024 12:23,0.029166667
58,FMoma,elec_solve_level1,3/21/2024 12:24,3/21/2024 12:24,0.009444444
59,FMoma,elec_solve_level1,3/21/2024 12:25,3/21/2024 12:29,0.065277778
60,FMoma,elec_solve_level1,3/21/2024 12:29,3/21/2024 12:30,0.005277778
61,FMoma,elec_solve_level1,3/21/2024 12:45,3/21/2024 12:59,0.230833333
62,FMoma,elec_solve_level1,3/21/2024 12:59,3/21/2024 13:02,0.046388889
63,FMoma,elec_solve_level1,3/21/2024 13:02,3/21/2024 13:32,0.488888889
64,FMoma,elec_solve_level1,3/21/2024 13:40,3/21/2024 14:00,0.328611111
65,FMoma,elec_solve_level1,3/21/2024 14:10,3/21/2024 14:33,0.394722222
66,FMoma,elec_solve_level1,3/21/2024 14:35,3/21/2024 14:35,0.004444444
67,FMoma,elec_solve_level1,3/21/2024 14:49,3/21/2024 15:09,0.3275
68,FMoma,elec_solve_level1,3/21/2024 15:25,3/21/2024 15:53,0.475833333
69,FMoma,elec_solve_level1,3/21/2024 16:22,3/21/2024 18:16,1.893888889
70,FMoma,elec_solve_level1,3/21/2024 18:31,3/21/2024 22:51,4.331666667
71,FMoma,elec_solve_level1,3/21/2024 22:52,3/21/2024 22:53,0.031111111
72,FMoma,elec_solve_level1,3/21/2024 22:56,3/21/2024 22:57,0.016944444
73,FMoma,elec_solve_level1,3/21/2024 22:59,3/21/2024 22:59,0.0075
74,FMoma,elec_solve_level1,3/21/2024 23:44,3/21/2024 23:48,0.070277778
75,FMoma,elec_solve_level1,3/21/2024 23:58,3/22/2024 0:22,0.405833333
76,FMoma,elec_solve_level1,3/22/2024 0:36,3/22/2024 0:41,0.093611111
77,FMoma,elec_solve_level1,3/22/2024 0:42,3/22/2024 0:42,0.001666667
78,FMoma,elec_solve_level1,3/22/2024 0:50,3/22/2024 1:01,0.176944444
79,FMoma,elec_solve_level1,3/22/2024 1:09,3/25/2024 10:45,81.6
80,FMoma,elec_solve_level1,3/25/2024 10:47,3/25/2024 10:58,0.189722222
81,FMoma,elec_solve_level1,3/25/2024 10:59,3/25/2024 15:54,4.901666667
82,FMoma,elec_solve_level1,3/25/2024 16:05,3/25/2024 18:22,2.2975
83,FMoma,elec_solve_level1,3/25/2024 18:23,3/25/2024 18:23,0.001944444
84,FMoma,elec_solve_level1,3/25/2024 18:37,3/25/2024 19:26,0.821388889
85,FMoma,elec_solve_level1,3/25/2024 19:27,3/25/2024 19:27,0.001666667
86,FMoma,elec_solve_level1,3/25/2024 19:41,3/25/2024 19:58,0.280277778
87,FMoma,elec_solve_level1,3/25/2024 20:04,3/25/2024 21:15,1.176111111
88,FMoma,elec_solve_level1,3/25/2024 21:29,3/25/2024 22:13,0.738611111
89,FMoma,elec_solve_level1,3/25/2024 22:27,3/25/2024 23:00,0.5425
90,FMoma,elec_solve_level1,3/25/2024 23:04,3/25/2024 23:08,0.057777778
91,FMoma,elec_solve_level1,3/25/2024 23:15,3/21/2024 4:20,-114.92
92,FMoma,elec_solve_level2,3/21/2024 6:27,3/21/2024 8:16,1.819166667
93,FMoma,elec_solve_level2,3/21/2024 9:38,3/21/2024 10:13,0.585555556
94,FMoma,elec_solve_level2,3/21/2024 10:15,3/21/2024 10:16,0.006944444
95,FMoma,elec_solve_level2,3/21/2024 10:30,3/21/2024 10:30,0.006944444
96,FMoma,elec_solve_level2,3/21/2024 10:51,3/21/2024 10:54,0.050277778
97,FMoma,elec_solve_level2,3/21/2024 10:59,3/21/2024 11:00,0.010277778
98,FMoma,elec_solve_level2,3/21/2024 11:25,3/21/2024 12:10,0.748333333
99,FMoma,elec_solve_level2,3/21/2024 12:10,3/21/2024 12:19,0.136666667
100,FMoma,elec_solve_level2,3/21/2024 12:19,3/21/2024 12:21,0.040277778
101,FMoma,elec_solve_level2,3/21/2024 12:22,3/21/2024 12:23,0.029166667
102,FMoma,elec_solve_level2,3/21/2024 12:24,3/21/2024 12:24,0.009444444
103,FMoma,elec_solve_level2,3/21/2024 12:25,3/21/2024 12:29,0.065277778
